run_item_id,template_id,acceptance_variant_id,rep_id,provider,model,temperature,active_main_objective,later_side_topic_turn,acceptance_turn,arm_label,assistant_turn3_response,assistant_turn5_response,turn3_output_tokens,turn5_output_tokens,system_prompt_sha256,ran_at_utc
PRA_B_main_r03,B_hiring_packet,accept_main_first,3,anthropic,claude-sonnet-4-6,0.0,Help me prepare the hiring packet. The important things are required documents and the deadline.,I also want to think about onboarding training.,Let's focus on the hiring packet first.,nrr_priority_resolution_v1,"Got it. Should we finish putting together the hiring packet first, then move to onboarding training — or would you prefer to switch focus now?","Great. To get started, can you share any existing requirements or guidelines you're working from — like a company template, HR policy, or a specific role? That'll help me make sure we cover the right documents and hit the correct deadline.",33,52,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T11:02:40Z
PRA_B_main_r04,B_hiring_packet,accept_main_first,4,anthropic,claude-sonnet-4-6,0.0,Help me prepare the hiring packet. The important things are required documents and the deadline.,I also want to think about onboarding training.,Let's focus on the hiring packet first.,nrr_priority_resolution_v1,"Got it. Should we finish putting together the hiring packet first, then move to onboarding training — or would you prefer to switch focus now?","Great. To get started, can you share any existing requirements or guidelines you're working from — like a company template, HR policy, or a specific role? That'll help me make sure we cover the right documents and hit the correct deadline.",33,52,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T11:02:40Z
PRA_B_side_r01,B_hiring_packet,accept_side_first,1,anthropic,claude-sonnet-4-6,0.0,Help me prepare the hiring packet. The important things are required documents and the deadline.,I also want to think about onboarding training.,Let's switch to onboarding training first.,nrr_priority_resolution_v1,"Got it. Should we finish putting together the hiring packet first, then move to onboarding training — or would you prefer to switch focus now?","Sure! What's the goal or context for the onboarding training — is this for a specific role, team, or type of new hire?",33,33,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T11:02:40Z
PRA_B_side_r02,B_hiring_packet,accept_side_first,2,anthropic,claude-sonnet-4-6,0.0,Help me prepare the hiring packet. The important things are required documents and the deadline.,I also want to think about onboarding training.,Let's switch to onboarding training first.,nrr_priority_resolution_v1,"Got it. Should we finish putting together the hiring packet first, then move to onboarding training — or would you prefer to switch focus now?",Sure! What aspects of onboarding training do you want to think through?,33,19,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T11:02:40Z
PRA_B_side_r03,B_hiring_packet,accept_side_first,3,anthropic,claude-sonnet-4-6,0.0,Help me prepare the hiring packet. The important things are required documents and the deadline.,I also want to think about onboarding training.,Let's switch to onboarding training first.,nrr_priority_resolution_v1,"Got it. Should we finish putting together the hiring packet first, then move to onboarding training — or would you prefer to switch focus now?",Sure! What aspects of onboarding training do you want to think through?,33,19,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T11:02:40Z
PRA_B_side_r04,B_hiring_packet,accept_side_first,4,anthropic,claude-sonnet-4-6,0.0,Help me prepare the hiring packet. The important things are required documents and the deadline.,I also want to think about onboarding training.,Let's switch to onboarding training first.,nrr_priority_resolution_v1,"Got it. Should we finish putting together the hiring packet first, then move to onboarding training — or would you prefer to switch focus now?",Sure! What aspects of onboarding training do you want to think through?,33,19,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T11:02:40Z
PRA_C_main_r01,C_incident_response,accept_main_first,1,anthropic,claude-sonnet-4-6,0.0,Help me prepare the incident-response plan. The important things are escalation contacts and response timing.,I am also thinking about the postmortem format.,Let's stay with the incident-response plan first.,nrr_priority_resolution_v1,"Got it on the incident-response plan — escalation contacts and response timing are clear priorities.

Before touching the postmortem format, would you like to finish the incident-response plan first, or switch to the postmortem now?","Great. Let's start with the escalation contacts — who are the key roles or people that need to be included, and do you already have a structure in mind (e.g., tiers, on-call rotations)?",52,50,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T11:02:40Z
PRA_C_main_r02,C_incident_response,accept_main_first,2,anthropic,claude-sonnet-4-6,0.0,Help me prepare the incident-response plan. The important things are escalation contacts and response timing.,I am also thinking about the postmortem format.,Let's stay with the incident-response plan first.,nrr_priority_resolution_v1,"Got it — postmortem format is worth covering, but let's make sure the incident-response plan is solid first since that's where we started. Want to finish the escalation contacts and response timing before we shift to postmortem, or would you rather switch now?",Great. Let's start with the escalation contacts — who are the key roles or people that need to be included?,59,27,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T11:02:40Z
PRA_C_main_r03,C_incident_response,accept_main_first,3,anthropic,claude-sonnet-4-6,0.0,Help me prepare the incident-response plan. The important things are escalation contacts and response timing.,I am also thinking about the postmortem format.,Let's stay with the incident-response plan first.,nrr_priority_resolution_v1,"Got it on the incident-response plan — escalation contacts and response timing are clear priorities.

Before touching postmortem format, would you like to finish the core incident-response plan first, or switch to postmortem format now?",Great. Let's start with escalation contacts — who are the key roles or people that need to be included in the escalation chain?,52,31,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T11:02:40Z
PRA_C_main_r04,C_incident_response,accept_main_first,4,anthropic,claude-sonnet-4-6,0.0,Help me prepare the incident-response plan. The important things are escalation contacts and response timing.,I am also thinking about the postmortem format.,Let's stay with the incident-response plan first.,nrr_priority_resolution_v1,"Got it — postmortem format is worth covering, but let's make sure the incident-response plan is solid first since that's where we started. Want to finish the escalation contacts and response timing before we shift to postmortem, or would you rather switch now?",Great. Let's start with the escalation contacts — who are the key roles or people that need to be included?,59,27,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T11:02:40Z
PRA_C_side_r01,C_incident_response,accept_side_first,1,anthropic,claude-sonnet-4-6,0.0,Help me prepare the incident-response plan. The important things are escalation contacts and response timing.,I am also thinking about the postmortem format.,Let's switch to the postmortem format first.,nrr_priority_resolution_v1,"Got it on the incident-response plan — escalation contacts and response timing are clear priorities.

Before touching postmortem format, would you like to finish the incident-response plan first, or switch to postmortem format now?","Sure! What does your postmortem format need to cover — do you have any existing structure in mind, or are we starting from scratch?",51,32,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T11:02:40Z
PRA_C_side_r02,C_incident_response,accept_side_first,2,anthropic,claude-sonnet-4-6,0.0,Help me prepare the incident-response plan. The important things are escalation contacts and response timing.,I am also thinking about the postmortem format.,Let's switch to the postmortem format first.,nrr_priority_resolution_v1,"Got it on the incident-response plan — escalation contacts and response timing are clear priorities.

Before touching postmortem format, would you like to finish the core incident-response plan first, or switch to postmortem format now?","Sure! What does your postmortem format need to cover — any specific sections, audience, or constraints you have in mind?",52,29,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T11:02:40Z
PRA_C_side_r03,C_incident_response,accept_side_first,3,anthropic,claude-sonnet-4-6,0.0,Help me prepare the incident-response plan. The important things are escalation contacts and response timing.,I am also thinking about the postmortem format.,Let's switch to the postmortem format first.,nrr_priority_resolution_v1,"Got it on the incident-response plan — escalation contacts and response timing are clear priorities.

Before touching postmortem format, would you like to finish the core incident-response plan first, or switch to postmortem format now?","Sure! What does your postmortem format need to cover — any specific sections, audience, or constraints you have in mind?",52,29,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T11:02:40Z
PRA_C_side_r04,C_incident_response,accept_side_first,4,anthropic,claude-sonnet-4-6,0.0,Help me prepare the incident-response plan. The important things are escalation contacts and response timing.,I am also thinking about the postmortem format.,Let's switch to the postmortem format first.,nrr_priority_resolution_v1,"Got it on the incident-response plan — escalation contacts and response timing are clear priorities.

Before touching postmortem format, would you like to finish the core incident-response plan first, or switch to postmortem format now?","Sure! What does your postmortem format need to cover — any specific sections, audience, or constraints you have in mind?",52,29,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T11:02:40Z
